labels,total_transitions,horizontal_transitions,vertical_transitions,total_transitions_left,horizontal_transitions_left,vertical_transitions_left,total_transitions_right,horizontal_transitions_right,vertical_transitions_right,total_transitions_top,horizontal_transitions_top,vertical_transitions_top,total_transitions_bottom,horizontal_transitions_bottom,vertical_transitions_bottom
4,94,36,58,47,18,29,46,18,28,48,18,30,45,17,28
1,114,24,90,42,12,30,57,12,45,48,14,34,65,9,56
1,128,32,96,54,14,40,66,18,48,56,16,40,71,15,56
3,86,26,60,42,12,30,44,14,30,39,11,28,47,15,32
1,108,22,86,38,10,28,55,12,43,42,12,30,65,9,56
2,106,40,66,52,20,32,54,20,34,46,18,28,60,22,38
2,100,44,56,50,22,28,50,22,28,49,21,28,51,23,28
0,106,50,56,54,26,28,52,24,28,58,30,28,46,18,28
1,114,32,82,46,14,32,64,18,46,43,15,28,69,15,54
2,116,46,70,61,22,39,55,24,31,47,19,28,68,26,42
1,120,26,94,61,14,47,58,12,46,52,14,38,67,11,56
0,108,42,66,56,22,34,47,20,27,53,23,30,55,19,36
1,124,32,92,48,14,34,65,18,47,51,15,36,73,17,56
0,120,54,66,60,28,32,59,26,33,73,35,38,47,19,28
2,122,48,74,62,22,40,60,26,34,53,25,28,69,23,46
4,106,48,58,51,22,29,55,26,29,51,21,30,54,26,28
4,122,46,76,62,22,40,60,24,36,49,21,28,73,25,48
0,210,74,136,93,34,59,110,40,70,74,30,44,133,41,92
2,110,44,66,55,22,33,55,22,33,49,21,28,61,23,38
0,114,54,60,56,26,30,57,28,29,70,38,32,44,16,28
1,92,22,70,38,10,28,47,12,35,40,12,28,51,9,42
1,112,20,92,56,10,46,51,10,41,47,11,36,65,9,56
2,126,46,80,62,22,40,64,24,40,65,23,42,60,22,38
0,98,44,54,49,22,27,49,22,27,53,27,26,45,17,28
3,120,38,82,60,18,42,60,20,40,71,21,50,49,17,32
2,170,50,120,85,24,61,85,26,59,72,26,46,98,24,74
3,74,18,56,36,8,28,38,10,28,37,9,28,37,9,28
0,110,52,58,52,24,28,58,28,30,68,38,30,42,14,28
4,106,48,58,53,24,29,53,24,29,49,21,28,57,27,30
0,158,80,78,54,26,28,103,54,49,79,45,34,77,33,44
3,78,22,56,38,10,28,40,12,28,39,11,28,39,11,28
4,284,110,174,130,60,70,144,50,94,132,50,82,148,56,92
3,148,64,84,72,32,40,72,32,40,68,26,42,78,36,42
4,110,42,68,58,22,36,52,20,32,48,20,28,62,22,40
1,120,28,92,60,14,46,60,14,46,51,15,36,69,13,56
3,92,36,56,46,18,28,46,18,28,46,18,28,45,17,28
3,96,26,70,47,12,35,49,14,35,55,15,40,41,11,30
4,92,36,56,46,18,28,46,18,28,46,18,28,46,18,28
3,102,44,58,49,20,29,53,24,29,54,24,30,47,19,28
4,96,32,64,48,16,32,48,16,32,52,16,36,44,16,28
4,116,50,66,59,26,33,57,24,33,57,27,30,58,22,36
3,88,32,56,40,16,24,48,16,32,49,21,28,39,11,28
2,160,46,114,80,22,58,80,24,56,66,24,42,93,21,72
0,88,30,58,45,16,29,43,14,29,46,16,30,42,14,28
0,102,46,56,50,22,28,52,24,28,60,32,28,42,14,28
2,124,62,62,57,28,29,67,34,33,62,30,32,62,32,30
1,116,24,92,47,12,35,58,12,46,48,12,36,67,11,56
1,118,26,92,56,14,42,58,12,46,50,14,36,68,12,56
4,124,58,66,60,28,32,64,30,34,62,28,34,61,29,32
0,108,50,58,53,24,29,55,26,29,63,33,30,43,15,28
4,108,40,68,54,20,34,54,20,34,48,20,28,60,20,40
1,88,20,68,43,10,33,44,10,34,48,12,36,40,8,32
4,122,42,80,60,20,40,62,22,40,49,21,28,73,21,52
0,98,42,56,48,20,28,50,22,28,55,27,28,43,15,28
1,126,30,96,55,16,39,64,14,50,54,14,40,72,16,56
4,104,44,60,51,22,29,52,22,30,59,27,32,44,16,28
4,148,74,74,80,40,40,65,34,31,94,50,44,52,22,30
2,136,42,94,74,20,54,62,22,40,51,19,32,84,22,62
2,134,62,72,63,28,35,70,34,36,66,28,38,67,33,34
3,104,42,62,49,18,31,55,24,31,53,23,30,51,19,32
0,102,44,58,51,22,29,51,22,29,58,28,30,44,16,28
4,94,38,56,46,18,28,48,20,28,47,19,28,47,19,28
1,118,24,94,45,12,33,59,12,47,51,13,38,66,10,56
2,184,72,112,91,34,57,93,38,55,77,43,34,105,27,78
0,132,68,64,73,36,37,59,32,27,82,46,36,49,21,28
1,106,24,82,49,12,37,53,12,41,40,12,28,66,12,54
0,104,46,58,51,22,29,53,24,29,61,31,30,43,15,28
0,116,54,62,57,26,31,58,28,30,70,36,34,46,18,28
2,138,46,92,69,22,47,69,24,45,60,22,38,77,23,54
1,116,22,94,46,12,34,57,10,47,48,10,38,68,12,56
2,104,44,60,49,20,29,55,24,31,48,20,28,56,24,32
2,96,40,56,48,20,28,48,20,28,47,19,28,49,21,28
4,170,70,100,81,32,49,89,38,51,113,43,70,57,27,30
1,114,24,90,51,12,39,57,12,45,47,13,34,67,11,56
4,152,44,108,75,22,53,77,22,55,48,20,28,103,23,80
0,126,52,74,64,26,38,62,26,36,48,20,28,78,32,46
3,92,36,56,46,18,28,46,18,28,50,22,28,42,14,28
0,112,54,58,54,26,28,57,28,29,64,34,30,48,20,28
0,102,46,56,50,22,28,52,24,28,57,29,28,44,16,28
0,102,46,56,50,22,28,52,24,28,60,32,28,42,14,28
0,104,48,56,50,22,28,54,26,28,57,29,28,47,19,28
3,82,28,54,41,14,27,41,14,27,46,20,26,36,8,28
2,120,40,80,62,20,42,58,20,38,47,19,28,73,21,52
4,112,42,70,56,20,36,56,22,34,48,20,28,63,21,42
4,108,50,58,55,26,29,53,24,29,61,31,30,46,18,28
1,116,22,94,38,10,28,59,12,47,52,14,38,64,8,56
2,96,38,58,49,20,29,47,18,29,47,19,28,49,19,30
2,136,60,76,60,26,34,75,34,41,70,32,38,64,26,38
3,90,34,56,46,18,28,44,16,28,50,22,28,40,12,28
1,122,26,96,41,12,29,62,14,48,54,14,40,68,12,56
3,116,38,78,58,18,40,58,20,38,56,18,38,58,18,40
0,106,50,56,52,24,28,54,26,28,61,33,28,45,17,28
1,116,22,94,52,10,42,59,12,47,51,13,38,64,8,56
2,144,64,80,67,30,37,74,34,40,83,39,44,61,25,36
0,106,50,56,52,24,28,54,26,28,61,33,28,45,17,28
3,124,36,88,52,20,32,70,16,54,43,13,30,79,21,58
2,154,66,88,82,32,50,72,34,38,75,43,32,79,23,56
1,126,34,92,60,16,44,64,18,46,55,19,36,70,14,56
1,84,24,60,40,12,28,42,12,30,42,14,28,42,10,32
3,104,44,60,52,22,30,52,22,30,56,28,28,48,16,32
3,98,40,58,49,20,29,48,20,28,45,15,30,53,25,28
4,168,74,94,86,42,44,82,32,50,72,32,40,88,34,54
1,112,18,94,48,8,40,57,10,47,48,10,38,63,7,56
0,100,44,56,50,22,28,50,22,28,58,30,28,42,14,28
0,104,44,60,51,22,29,53,22,31,63,31,32,41,13,28
1,112,22,90,39,10,29,57,12,45,48,14,34,64,8,56
2,118,46,72,58,22,36,60,24,36,53,23,30,65,23,42
0,112,50,62,56,24,32,56,26,30,68,34,34,44,16,28
2,176,52,124,87,26,61,89,26,63,75,25,50,100,26,74
3,102,38,64,51,20,31,50,18,32,59,25,34,43,13,30
3,82,26,56,42,14,28,40,12,28,45,17,28,37,9,28
1,120,28,92,61,16,45,53,12,41,50,14,36,69,13,56
3,96,38,58,47,18,29,49,20,29,54,24,30,42,14,28
4,100,40,60,49,20,29,51,20,31,46,18,28,53,21,32
1,118,26,92,50,14,36,58,12,46,51,15,36,67,11,56
3,94,24,70,46,12,34,47,12,35,55,13,42,39,11,28
0,104,48,56,52,24,28,52,24,28,62,34,28,42,14,28
3,84,26,58,41,12,29,43,14,29,43,13,30,41,13,28
0,104,48,56,50,22,28,54,26,28,60,32,28,44,16,28
3,90,34,56,42,16,26,48,18,30,45,17,28,45,17,28
0,338,160,178,177,84,93,159,76,83,250,122,128,85,35,50
0,136,52,84,65,26,39,67,26,41,91,35,56,45,17,28
2,140,48,92,66,22,44,74,26,48,64,22,42,75,25,50
4,224,98,126,118,52,66,105,46,59,150,64,86,72,32,40
1,120,24,96,41,12,29,60,12,48,54,14,40,66,10,56
4,202,74,128,102,40,62,97,34,63,111,35,76,89,37,52
1,120,24,96,38,10,28,62,14,48,54,14,40,66,10,56
3,94,32,62,46,16,30,48,16,32,45,13,32,49,19,30
2,122,40,82,61,20,41,61,20,41,46,20,26,76,20,56
3,108,46,62,50,20,30,57,26,31,61,27,34,47,19,28
2,160,76,84,78,38,40,81,38,43,73,35,38,86,40,46
3,90,28,62,46,14,32,44,14,30,44,14,30,46,14,32
3,102,46,56,52,24,28,50,22,28,57,29,28,44,16,28
0,108,46,62,53,22,31,55,24,31,59,25,34,44,16,28
0,108,50,58,50,22,28,57,28,29,65,35,30,43,15,28
0,94,36,58,44,16,28,50,20,30,47,17,30,47,19,28
3,80,24,56,40,12,28,40,12,28,38,10,28,42,14,28
3,86,28,58,42,14,28,43,14,29,46,16,30,40,12,28
2,106,40,66,53,20,33,53,20,33,50,20,30,56,20,36
3,104,44,60,54,22,32,50,22,28,51,19,32,53,25,28
4,152,48,104,74,24,50,78,24,54,50,22,28,101,25,76
1,122,26,96,51,12,39,62,14,48,54,14,40,68,12,56
2,140,58,82,63,28,35,77,30,47,53,23,30,87,35,52
4,98,40,58,49,20,29,49,20,29,51,21,30,47,19,28
3,136,48,88,66,22,44,69,26,43,86,30,56,46,14,32
4,104,42,62,51,20,31,53,22,31,49,21,28,55,21,34
2,116,46,70,64,24,40,52,22,30,47,21,26,68,24,44
3,82,20,62,41,10,31,41,10,31,45,11,34,37,9,28
4,110,46,64,53,22,31,56,24,32,59,23,36,50,22,28
4,154,52,102,75,24,51,79,28,51,59,27,32,94,24,70
2,112,44,68,51,20,31,61,24,37,48,20,28,64,24,40
4,130,54,76,64,26,38,66,28,38,49,21,28,80,32,48
0,116,58,58,57,28,29,59,30,29,67,37,30,48,20,28
1,94,26,68,38,10,28,50,16,34,40,12,28,53,13,40
4,112,48,64,52,22,30,60,26,34,66,34,32,46,14,32
3,90,24,66,44,12,32,45,12,33,48,10,38,42,14,28
3,90,34,56,44,16,28,46,18,28,49,21,28,41,13,28
1,122,26,96,55,12,43,62,14,48,54,14,40,68,12,56
4,96,40,56,48,20,28,48,20,28,47,19,28,49,21,28
3,104,38,66,53,20,33,51,18,33,60,24,36,44,14,30
3,100,36,64,47,16,31,53,20,33,57,21,36,43,15,28
4,118,46,72,54,22,32,64,24,40,50,20,30,67,25,42
0,116,56,60,55,26,29,60,30,30,62,34,28,51,19,32
1,106,28,78,45,14,31,53,14,39,44,16,28,62,12,50
3,150,72,78,74,36,38,75,36,39,82,38,44,66,32,34
1,92,24,68,40,12,28,46,12,34,40,12,28,52,12,40
1,116,30,86,52,14,38,60,16,44,45,15,30,70,14,56
4,94,32,62,45,14,31,49,18,31,47,17,30,47,15,32
0,102,44,58,49,20,29,53,24,29,57,27,30,45,17,28
2,164,56,108,84,28,56,80,28,52,58,26,32,105,29,76
1,114,30,84,42,14,28,58,16,42,43,15,28,70,14,56
2,104,42,62,51,20,31,53,22,31,47,19,28,57,23,34
0,106,50,56,52,24,28,54,26,28,59,31,28,44,16,28
3,86,26,60,42,12,30,44,14,30,46,14,32,40,12,28
0,86,30,56,42,14,28,44,16,28,41,13,28,45,17,28
2,106,40,66,53,20,33,53,20,33,46,18,28,60,22,38
2,156,50,106,74,24,50,81,26,55,66,28,38,90,22,68
4,408,192,216,195,98,97,205,94,111,203,89,114,199,97,102
1,128,30,98,51,18,33,61,12,49,56,14,42,72,16,56
0,110,50,60,54,24,30,55,26,29,61,29,32,49,21,28
2,104,46,58,50,22,28,53,24,29,53,23,30,51,23,28
4,102,40,62,48,20,28,54,20,34,47,19,28,55,21,34
2,122,46,76,55,22,33,67,24,43,49,21,28,73,25,48
2,132,58,74,65,28,37,67,30,37,76,36,40,56,22,34
1,116,26,90,46,12,34,62,14,48,46,12,34,68,12,56
4,140,42,98,72,22,50,68,20,48,47,19,28,92,22,70
4,108,44,64,55,22,33,53,22,31,50,20,30,58,24,34
2,108,50,58,52,24,28,56,26,30,51,23,28,56,26,30
0,104,48,56,52,24,28,52,24,28,60,32,28,44,16,28
2,154,52,102,78,26,52,76,26,50,52,24,28,102,28,74
4,106,40,66,53,20,33,53,20,33,47,19,28,58,20,38
4,112,48,64,56,24,32,56,24,32,47,19,28,64,28,36
0,214,100,114,110,54,56,100,46,54,104,50,54,106,46,60
2,112,42,70,54,20,34,57,22,35,59,21,38,53,21,32
1,116,26,90,54,12,42,59,14,45,48,14,34,67,11,56
1,112,22,90,39,10,29,57,12,45,48,14,34,64,8,56
4,114,40,74,56,20,36,58,20,38,48,20,28,66,20,46
1,116,26,90,52,12,40,59,14,45,48,14,34,68,12,56
2,106,46,60,52,22,30,54,24,30,51,23,28,55,23,32
2,112,42,70,55,20,35,57,22,35,48,20,28,63,21,42
4,102,42,60,50,20,30,52,22,30,47,19,28,55,23,32
1,106,28,78,53,14,39,47,14,33,44,14,30,62,14,48
0,118,58,60,55,26,29,62,32,30,69,37,32,48,20,28
2,120,44,76,63,22,41,57,22,35,48,20,28,72,24,48
0,104,46,58,50,22,28,54,24,30,62,32,30,42,14,28
3,94,36,58,45,16,29,49,20,29,52,22,30,42,14,28
1,114,22,92,38,10,28,58,12,46,49,13,36,65,9,56
2,232,134,98,110,62,48,121,72,49,127,71,56,105,63,42
2,150,44,106,72,22,50,78,22,56,52,22,30,97,21,76
1,104,22,82,38,10,28,53,12,41,41,13,28,63,9,54
4,108,42,66,54,20,34,54,22,32,47,19,28,61,23,38
4,108,52,56,54,26,28,54,26,28,50,22,28,57,29,28
3,382,152,230,179,70,109,203,82,121,165,67,98,216,84,132
2,106,42,64,55,22,33,50,20,30,48,20,28,58,22,36
0,100,42,58,49,20,29,51,22,29,58,28,30,42,14,28
2,110,46,64,54,22,32,56,24,32,51,23,28,59,23,36
4,122,54,68,61,26,35,61,28,33,51,21,30,71,33,38
3,150,60,90,75,30,45,75,30,45,57,25,32,91,33,58
2,106,40,66,54,20,34,52,20,32,48,20,28,58,20,38
4,142,62,80,69,30,39,70,32,38,61,27,34,78,32,46
1,128,32,96,60,12,48,62,20,42,57,17,40,71,15,56
2,122,52,70,60,26,34,61,26,35,65,29,36,57,23,34
4,148,60,88,78,32,46,70,28,42,58,26,32,90,34,56
2,112,44,68,63,24,39,49,20,29,49,21,28,63,23,40
0,110,56,54,55,28,27,55,28,27,43,23,20,66,32,34
3,84,26,58,41,12,29,43,14,29,46,16,30,38,10,28
1,128,30,98,54,12,42,67,18,49,57,15,42,71,15,56
3,92,32,60,44,14,30,48,18,30,51,19,32,41,13,28
4,96,38,58,46,18,28,50,20,30,46,18,28,49,19,30
3,114,54,60,56,26,30,58,28,30,53,21,32,59,31,28
1,96,22,74,38,10,28,49,12,37,41,13,28,55,9,46
0,108,52,56,52,24,28,56,28,28,61,33,28,47,19,28
1,108,24,84,38,10,28,56,14,42,42,12,30,66,12,54
1,120,26,94,54,14,40,59,12,47,52,14,38,68,12,56
4,120,48,72,55,22,33,64,26,38,51,21,30,68,26,42
3,90,30,60,41,14,27,49,16,33,52,20,32,38,10,28
0,182,60,122,87,28,59,95,32,63,76,26,50,105,33,72
4,118,54,64,58,26,32,60,28,32,71,35,36,47,19,28
4,98,42,56,48,20,28,50,22,28,57,29,28,41,13,28
4,104,46,58,51,22,29,53,24,29,50,22,28,54,24,30
0,116,56,60,62,30,32,54,26,28,69,37,32,47,19,28
4,144,48,96,72,24,48,72,24,48,48,20,28,96,28,68
0,110,54,56,54,26,28,56,28,28,65,37,28,45,17,28
1,116,28,88,59,16,43,55,12,43,45,13,32,70,14,56
2,110,40,70,55,20,35,55,20,35,48,20,28,62,20,42
4,228,104,124,108,54,54,111,50,61,111,49,62,112,50,62
3,82,26,56,40,12,28,42,14,28,38,10,28,43,15,28
1,88,30,58,43,14,29,44,16,28,41,13,28,47,17,30
3,160,42,118,60,16,44,84,26,58,60,16,44,100,26,74
1,118,22,96,44,12,32,58,10,48,50,10,40,67,11,56
4,108,52,56,54,26,28,54,26,28,61,33,28,46,18,28
3,112,40,72,54,20,34,58,20,38,64,20,44,47,19,28
3,96,36,60,48,18,30,48,18,30,53,21,32,42,14,28
1,82,24,58,40,12,28,41,12,29,40,12,28,42,12,30
4,106,50,56,52,24,28,54,26,28,61,33,28,45,17,28
2,112,44,68,58,22,36,54,22,32,50,22,28,62,22,40
3,94,34,60,47,16,31,46,18,28,46,18,28,48,16,32
2,106,44,62,53,22,31,53,22,31,48,20,28,58,24,34
3,100,38,62,45,18,27,54,20,34,55,21,34,45,17,28
0,106,50,56,50,22,28,56,28,28,63,35,28,43,15,28
0,106,50,56,54,26,28,52,24,28,59,31,28,47,19,28
2,122,42,80,60,22,38,62,20,42,48,20,28,74,22,52
3,94,36,58,44,16,28,50,20,30,48,18,30,46,18,28
3,108,48,60,52,22,30,56,26,30,51,23,28,57,25,32
2,128,58,70,59,26,33,68,32,36,56,26,30,71,31,40
0,126,64,62,66,34,32,59,30,29,64,32,32,58,28,30
1,104,30,74,48,16,32,51,14,37,42,14,28,60,14,46
2,112,44,68,57,24,33,55,20,35,44,18,26,68,26,42
1,124,32,92,58,14,44,64,18,46,50,14,36,74,18,56
0,168,94,74,89,48,41,77,46,31,71,39,32,91,49,42
4,124,48,76,66,24,42,58,24,34,48,20,28,75,27,48
1,112,22,90,36,8,28,59,14,45,45,11,34,66,10,56
0,106,36,70,52,18,34,53,18,35,61,19,42,45,17,28
3,92,36,56,46,18,28,46,18,28,44,16,28,48,20,28
2,104,40,64,52,20,32,52,20,32,48,20,28,56,20,36
0,112,54,58,54,26,28,58,28,30,66,36,30,46,18,28
4,114,52,62,56,26,30,56,26,30,67,35,32,47,17,30
3,110,38,72,58,20,38,52,18,34,60,18,42,48,18,30
0,104,46,58,52,22,30,52,24,28,59,31,28,45,15,30
1,114,28,86,44,12,32,62,16,46,50,12,38,63,15,48
2,146,46,100,78,22,56,68,24,44,57,21,36,89,25,64
0,114,60,54,58,30,28,55,30,25,58,34,24,52,22,30
3,124,46,78,58,22,36,61,24,37,64,22,42,59,23,36
4,104,48,56,50,22,28,54,26,28,58,30,28,46,18,28
1,118,22,96,38,10,28,60,12,48,52,12,40,66,10,56
0,104,48,56,52,24,28,52,24,28,60,32,28,44,16,28
4,144,42,102,74,22,52,70,20,50,48,20,28,96,22,74
0,100,42,58,48,20,28,51,22,29,59,29,30,41,13,28
1,116,22,94,38,10,28,59,12,47,52,14,38,64,8,56
4,122,44,78,62,22,40,60,22,38,49,21,28,73,23,50
2,146,50,96,74,26,48,72,24,48,50,22,28,94,26,68
2,144,48,96,72,22,50,72,26,46,56,26,30,88,22,66
0,104,48,56,50,22,28,54,26,28,60,32,28,44,16,28
4,186,64,122,95,32,63,91,32,59,78,28,50,108,36,72
3,98,40,58,49,20,29,49,20,29,50,20,30,48,20,28
1,108,22,86,36,8,28,59,14,45,42,12,30,66,10,56
3,96,36,60,48,18,30,47,18,29,45,17,28,51,19,32
3,118,44,74,52,20,32,66,24,42,55,21,34,62,22,40
2,164,44,120,81,22,59,83,22,61,65,21,44,99,23,76
3,74,16,58,37,8,29,37,8,29,38,8,30,36,8,28
4,146,50,96,72,24,48,73,26,47,103,35,68,43,15,28
2,114,46,68,56,22,34,58,24,34,51,23,28,63,23,40
3,94,36,58,45,16,29,49,20,29,43,13,30,50,22,28
4,162,70,92,83,36,47,76,34,42,58,24,34,102,44,58
3,96,38,58,47,18,29,49,20,29,53,23,30,42,14,28
0,100,44,56,50,22,28,50,22,28,57,29,28,43,15,28
0,104,46,58,52,22,30,52,24,28,63,33,30,41,13,28
4,102,46,56,50,22,28,52,24,28,61,33,28,41,13,28
4,104,42,62,51,20,31,53,22,31,47,19,28,55,21,34
4,100,42,58,52,22,30,48,20,28,48,16,32,52,26,26
4,146,42,104,72,20,52,74,22,52,47,19,28,98,22,76
1,106,22,84,40,10,30,54,12,42,39,11,28,66,10,56
2,232,80,152,97,34,63,132,46,86,129,53,76,102,26,76
0,134,64,70,69,34,35,64,30,34,90,48,42,44,16,28
4,104,48,56,51,24,27,52,24,28,60,30,30,44,18,26
0,100,44,56,50,22,28,50,22,28,56,28,28,44,16,28
0,162,76,86,66,30,36,93,46,47,97,51,46,63,23,40
4,132,54,78,66,26,40,66,28,38,70,26,44,62,28,34
4,174,76,98,78,36,42,90,40,50,57,25,32,117,51,66
3,84,26,58,41,12,29,43,14,29,47,17,30,37,9,28
0,110,54,56,54,26,28,56,28,28,60,32,28,45,17,28
3,106,44,62,51,20,31,55,24,31,58,28,30,48,16,32
4,96,36,60,51,20,31,44,16,28,52,20,32,44,16,28
1,112,22,90,38,10,28,57,12,45,47,13,34,64,8,56
0,120,54,66,59,24,35,61,30,31,76,38,38,41,13,28
4,130,58,72,64,30,34,65,28,37,76,32,44,53,25,28
1,118,26,92,45,14,31,57,12,45,50,14,36,68,12,56
3,104,48,56,52,24,28,52,24,28,55,27,28,48,20,28
1,76,20,56,38,10,28,38,10,28,40,12,28,36,8,28
4,164,58,106,69,28,41,95,30,65,71,27,44,92,30,62
3,106,38,68,48,16,32,53,22,31,57,21,36,49,17,32
4,112,48,64,56,24,32,56,24,32,51,21,30,61,27,34
1,124,48,76,62,24,38,62,24,38,52,24,28,72,24,48
0,100,44,56,50,22,28,50,22,28,54,26,28,46,18,28
0,100,36,64,48,16,32,52,20,32,51,15,36,49,21,28
0,104,48,56,52,24,28,52,24,28,61,33,28,43,15,28
0,132,66,66,56,26,30,75,40,35,63,35,28,68,30,38
0,106,48,58,54,24,30,52,24,28,62,32,30,44,16,28
4,160,56,104,80,28,52,80,28,52,59,25,34,100,30,70
2,162,50,112,81,24,57,81,26,55,57,23,34,104,26,78
4,104,42,62,52,20,32,52,22,30,48,20,28,56,22,34
2,106,42,64,54,22,32,52,20,32,50,22,28,56,20,36
0,100,44,56,50,22,28,50,22,28,58,30,28,41,13,28
4,222,106,116,100,48,52,118,58,60,117,55,62,103,49,54
2,146,52,94,71,24,47,75,28,47,71,29,42,75,23,52
3,102,34,68,44,16,28,52,18,34,57,19,38,45,15,30
0,110,52,58,53,24,29,57,28,29,63,33,30,47,19,28
3,90,34,56,44,16,28,46,18,28,41,13,28,47,19,28
1,116,24,92,52,12,40,58,12,46,49,13,36,66,10,56
0,104,48,56,52,24,28,52,24,28,62,34,28,42,14,28
0,112,54,58,55,26,29,57,28,29,63,33,30,49,21,28
2,156,64,92,74,28,46,80,36,44,75,35,40,81,29,52
2,130,48,82,67,24,43,63,24,39,55,21,34,73,25,48
2,138,44,94,69,22,47,68,22,46,52,22,30,86,22,64
3,118,52,66,59,26,33,59,26,33,57,23,34,60,28,32
4,232,78,154,98,34,64,125,44,81,138,50,88,94,28,66
0,144,68,76,67,32,35,77,36,41,94,48,46,47,17,30
3,106,46,60,54,24,30,51,22,29,57,25,32,48,20,28
4,112,56,56,56,28,28,56,28,28,62,34,28,46,18,28
3,86,28,58,41,12,29,45,16,29,45,15,30,41,13,28
3,92,34,58,42,14,28,50,20,30,47,17,30,45,17,28
2,144,44,100,72,22,50,72,22,50,47,19,28,94,22,72
1,108,22,86,42,10,32,55,12,43,42,12,30,66,10,56
4,110,42,68,57,22,35,53,20,33,44,18,26,65,23,42
2,92,36,56,46,18,28,46,18,28,46,18,28,46,18,28
2,118,42,76,54,20,34,64,22,42,57,21,36,60,20,40
4,104,48,56,52,24,28,52,24,28,53,25,28,46,18,28
4,100,44,56,50,22,28,50,22,28,48,20,28,52,24,28
1,106,24,82,41,12,29,53,12,41,43,13,30,62,10,52
0,100,42,58,49,20,29,51,22,29,58,28,30,42,14,28
3,100,40,60,48,18,30,52,22,30,57,25,32,43,15,28
2,106,42,64,52,20,32,54,22,32,49,21,28,57,21,36
4,134,46,88,71,22,49,63,24,39,48,20,28,85,25,60
2,106,42,64,52,20,32,54,22,32,51,21,30,55,21,34
4,110,44,66,54,22,32,56,22,34,56,24,32,54,20,34
3,104,44,60,49,20,29,54,24,30,57,27,30,47,17,30
1,120,30,90,48,16,32,59,14,45,53,19,34,67,11,56
4,98,40,58,47,18,29,51,22,29,49,19,30,49,21,28
1,114,26,88,56,14,42,53,12,41,45,13,32,69,13,56
4,118,54,64,65,30,35,53,24,29,66,32,34,51,21,30
1,76,20,56,38,10,28,38,10,28,40,12,28,35,7,28
2,182,66,116,89,34,55,92,32,60,89,35,54,92,30,62
1,124,30,94,47,12,35,65,18,47,52,14,38,72,16,56
3,100,38,62,52,20,32,47,18,29,46,18,28,54,20,34
4,296,186,110,149,94,55,140,92,48,153,91,62,134,86,48
0,108,52,56,52,24,28,56,28,28,64,36,28,43,15,28
0,98,42,56,50,22,28,48,20,28,57,29,28,41,13,28
1,122,26,96,56,14,42,60,12,48,55,15,40,67,11,56
3,94,32,62,47,16,31,47,16,31,50,16,34,43,15,28
2,162,62,100,81,30,51,81,32,49,91,35,56,70,26,44
4,110,42,68,60,20,40,50,22,28,48,20,28,61,21,40
2,98,36,62,48,18,30,49,18,31,46,18,28,52,18,34
2,114,44,70,61,24,37,53,20,33,55,21,34,58,22,36
3,100,44,56,50,22,28,50,22,28,57,29,28,43,15,28
3,204,84,120,90,40,50,104,44,60,119,51,68,85,33,52
4,120,46,74,57,22,35,62,24,38,55,23,32,65,23,42
3,98,40,58,49,20,29,49,20,29,48,18,30,50,22,28
1,120,22,98,44,10,34,61,12,49,56,14,42,64,8,56
0,104,50,54,51,24,27,53,26,27,57,31,26,47,19,28
